interval_begin,zone_id,measurement_start,interval_id,volume,flow,speed
0,10045,09-08-17 13:30,1to2,326,3912,29.57133867
300,10045,09-08-17 13:35,1to2,328,3936,28.00990482
600,10045,09-08-17 13:40,1to2,336,4032,27.11396097
900,10045,09-08-17 13:45,1to2,349,4188,29.13232502
1200,10045,09-08-17 13:50,1to2,334,4008,28.216258
1500,10045,09-08-17 13:55,1to2,325,3900,28.82888573
1800,10045,09-08-17 14:00,1to2,329,3948,27.82502205
2100,10045,09-08-17 14:05,1to2,364,4368,27.47899638
2400,10045,09-08-17 14:10,1to2,329,3948,28.94355624
2700,10045,09-08-17 14:15,1to2,299,3588,29.87339521
3000,10045,09-08-17 14:20,1to2,355,4260,27.85714509
3300,10045,09-08-17 14:25,1to2,376,4512,27.10635363
3600,10045,09-08-17 14:30,1to2,349,4188,29.82559417
3900,10045,09-08-17 14:35,1to2,370,4440,29.62091591
4200,10045,09-08-17 14:40,1to2,364,4368,29.45728057
4500,10045,09-08-17 14:45,1to2,397,4764,29.25607485
4800,10045,09-08-17 14:50,1to2,363,4356,30.74259813
5100,10045,09-08-17 14:55,1to2,264,3168,29.89466069
5400,10045,09-08-17 15:00,1to2,351,4212,30.95748491
5700,10045,09-08-17 15:05,1to2,374,4488,30.69667218
6000,10045,09-08-17 15:10,1to2,297,3564,31.21794005
6300,10045,09-08-17 15:15,1to2,302,3624,30.77754176
6600,10045,09-08-17 15:20,1to2,310,3720,29.91507942
6900,10045,09-08-17 15:25,1to2,319,3828,30.19704273
0,10045,09-08-17 13:30,2to3,344,4128,28.58685034
300,10045,09-08-17 13:35,2to3,320,3840,27.88464426
600,10045,09-08-17 13:40,2to3,323,3876,26.20318087
900,10045,09-08-17 13:45,2to3,349,4188,26.27250498
1200,10045,09-08-17 13:50,2to3,352,4224,27.33455338
1500,10045,09-08-17 13:55,2to3,356,4272,26.85500314
1800,10045,09-08-17 14:00,2to3,333,3996,27.96817259
2100,10045,09-08-17 14:05,2to3,324,3888,26.58314785
2400,10045,09-08-17 14:10,2to3,376,4512,24.56308394
2700,10045,09-08-17 14:15,2to3,345,4140,20.4760893
3000,10045,09-08-17 14:20,2to3,336,4032,23.10472591
3300,10045,09-08-17 14:25,2to3,344,4128,23.36672184
3600,10045,09-08-17 14:30,2to3,347,4164,19.98056162
3900,10045,09-08-17 14:35,2to3,348,4176,25.29703442
4200,10045,09-08-17 14:40,2to3,348,4176,18.72885699
4500,10045,09-08-17 14:45,2to3,348,4176,19.07786777
4800,10045,09-08-17 14:50,2to3,324,3888,15.5852594
5100,10045,09-08-17 14:55,2to3,320,3840,17.79732805
5400,10045,09-08-17 15:00,2to3,313,3756,17.48681841
5700,10045,09-08-17 15:05,2to3,310,3720,16.95646862
6000,10045,09-08-17 15:10,2to3,297,3564,17.41353836
6300,10045,09-08-17 15:15,2to3,301,3612,17.28560846
6600,10045,09-08-17 15:20,2to3,310,3720,17.21853848
6900,10045,09-08-17 15:25,2to3,300,3600,17.3058951
0,10045,09-08-17 13:30,3to3_1,51,612,22.12813439
300,10045,09-08-17 13:35,3to3_1,17,204,21.15249779
600,10045,09-08-17 13:40,3to3_1,7,84,21.79507038
900,10045,09-08-17 13:45,3to3_1,20,240,21.96722604
1200,10045,09-08-17 13:50,3to3_1,41,492,21.92256335
1500,10045,09-08-17 13:55,3to3_1,31,372,21.67837533
1800,10045,09-08-17 14:00,3to3_1,6,72,20.22602238
2100,10045,09-08-17 14:05,3to3_1,0,0,0
2400,10045,09-08-17 14:10,3to3_1,59,708,24.33982608
2700,10045,09-08-17 14:15,3to3_1,55,660,19.89136834
3000,10045,09-08-17 14:20,3to3_1,0,0,0
3300,10045,09-08-17 14:25,3to3_1,28,336,21.41291627
3600,10045,09-08-17 14:30,3to3_1,3,36,21.8190861
3900,10045,09-08-17 14:35,3to3_1,0,0,0
4200,10045,09-08-17 14:40,3to3_1,28,336,21.27892822
4500,10045,09-08-17 14:45,3to3_1,3,36,21.08652202
4800,10045,09-08-17 14:50,3to3_1,0,0,0
5100,10045,09-08-17 14:55,3to3_1,0,0,0
5400,10045,09-08-17 15:00,3to3_1,0,0,0
5700,10045,09-08-17 15:05,3to3_1,0,0,0
6000,10045,09-08-17 15:10,3to3_1,0,0,0
6300,10045,09-08-17 15:15,3to3_1,0,0,0
6600,10045,09-08-17 15:20,3to3_1,0,0,0
6900,10045,09-08-17 15:25,3to3_1,0,0,0
0,10045,09-08-17 13:30,3to4,293,3516,25.19345485
300,10045,09-08-17 13:35,3to4,303,3636,26.54696407
600,10045,09-08-17 13:40,3to4,316,3792,25.05030113
900,10045,09-08-17 13:45,3to4,329,3948,24.26524933
1200,10045,09-08-17 13:50,3to4,311,3732,20.06742488
1500,10045,09-08-17 13:55,3to4,325,3900,23.61872524
1800,10045,09-08-17 14:00,3to4,327,3924,23.61813811
2100,10045,09-08-17 14:05,3to4,330,3960,24.65328835
2400,10045,09-08-17 14:10,3to4,317,3804,19.51283805
2700,10045,09-08-17 14:15,3to4,290,3480,9.324620499
3000,10045,09-08-17 14:20,3to4,342,4104,15.49775529
3300,10045,09-08-17 14:25,3to4,316,3792,13.76567334
3600,10045,09-08-17 14:30,3to4,344,4128,15.6511025
3900,10045,09-08-17 14:35,3to4,348,4176,13.0910769
4200,10045,09-08-17 14:40,3to4,320,3840,15.65064709
4500,10045,09-08-17 14:45,3to4,345,4140,14.92562343
4800,10045,09-08-17 14:50,3to4,324,3888,14.55578247
5100,10045,09-08-17 14:55,3to4,320,3840,15.04401766
5400,10045,09-08-17 15:00,3to4,313,3756,14.84180786
5700,10045,09-08-17 15:05,3to4,310,3720,14.81386933
6000,10045,09-08-17 15:10,3to4,297,3564,14.89989828
6300,10045,09-08-17 15:15,3to4,301,3612,14.85185849
6600,10045,09-08-17 15:20,3to4,310,3720,14.8552087
6900,10045,09-08-17 15:25,3to4,300,3600,14.86898849
0,10045,09-08-17 13:30,8to9,371,4452,18.84644685
300,10045,09-08-17 13:35,8to9,352,4224,18.63123439
600,10045,09-08-17 13:40,8to9,388,4656,17.4483261
900,10045,09-08-17 13:45,8to9,386,4632,20.45978006
1200,10045,09-08-17 13:50,8to9,400,4800,17.98559702
1500,10045,09-08-17 13:55,8to9,362,4344,13.89960123
1800,10045,09-08-17 14:00,8to9,348,4176,13.75196825
2100,10045,09-08-17 14:05,8to9,384,4608,16.08496256
2400,10045,09-08-17 14:10,8to9,363,4356,13.8481452
2700,10045,09-08-17 14:15,8to9,336,4032,12.95991811
3000,10045,09-08-17 14:20,8to9,342,4104,11.88145896
3300,10045,09-08-17 14:25,8to9,373,4476,13.92499865
3600,10045,09-08-17 14:30,8to9,344,4128,13.02384542
3900,10045,09-08-17 14:35,8to9,348,4176,12.74245814
4200,10045,09-08-17 14:40,8to9,369,4428,14.59949296
4500,10045,09-08-17 14:45,8to9,345,4140,16.87025266
4800,10045,09-08-17 14:50,8to9,324,3888,17.4599328
5100,10045,09-08-17 14:55,8to9,337,4044,16.7972561
5400,10045,09-08-17 15:00,8to9,313,3756,17.64494605
5700,10045,09-08-17 15:05,8to9,310,3720,17.17812925
6000,10045,09-08-17 15:10,8to9,311,3732,17.61798345
6300,10045,09-08-17 15:15,8to9,301,3612,17.51786008
6600,10045,09-08-17 15:20,8to9,310,3720,16.90891885
6900,10045,09-08-17 15:25,8to9,338,4056,17.33207646
0,10045,09-08-17 13:30,9to9_1,16,192,18.84644685
300,10045,09-08-17 13:35,9to9_1,12,144,18.63123439
600,10045,09-08-17 13:40,9to9_1,13,156,17.4483261
900,10045,09-08-17 13:45,9to9_1,23,276,20.45978006
1200,10045,09-08-17 13:50,9to9_1,19,228,17.98559702
1500,10045,09-08-17 13:55,9to9_1,24,288,13.89960123
1800,10045,09-08-17 14:00,9to9_1,32,384,13.75196825
2100,10045,09-08-17 14:05,9to9_1,33,396,16.08496256
2400,10045,09-08-17 14:10,9to9_1,27,324,13.8481452
2700,10045,09-08-17 14:15,9to9_1,32,384,12.95991811
3000,10045,09-08-17 14:20,9to9_1,38,456,11.88145896
3300,10045,09-08-17 14:25,9to9_1,20,240,13.92499865
3600,10045,09-08-17 14:30,9to9_1,31,372,13.02384542
3900,10045,09-08-17 14:35,9to9_1,29,348,12.74245814
4200,10045,09-08-17 14:40,9to9_1,34,408,14.59949296
4500,10045,09-08-17 14:45,9to9_1,31,372,16.87025266
4800,10045,09-08-17 14:50,9to9_1,28,336,17.4599328
5100,10045,09-08-17 14:55,9to9_1,19,228,16.7972561
5400,10045,09-08-17 15:00,9to9_1,20,240,17.64494605
5700,10045,09-08-17 15:05,9to9_1,17,204,17.17812925
6000,10045,09-08-17 15:10,9to9_1,16,192,17.61798345
6300,10045,09-08-17 15:15,9to9_1,19,228,17.51786008
6600,10045,09-08-17 15:20,9to9_1,21,252,16.90891885
6900,10045,09-08-17 15:25,9to9_1,12,144,17.33207646
0,10045,09-08-17 13:30,9to10,355,4260,23.85999173
300,10045,09-08-17 13:35,9to10,340,4080,27.82363863
600,10045,09-08-17 13:40,9to10,375,4500,26.18975866
900,10045,09-08-17 13:45,9to10,363,4356,21.62009503
1200,10045,09-08-17 13:50,9to10,381,4572,15.48002922
1500,10045,09-08-17 13:55,9to10,338,4056,15.29270619
1800,10045,09-08-17 14:00,9to10,316,3792,14.14426579
2100,10045,09-08-17 14:05,9to10,351,4212,15.40975915
2400,10045,09-08-17 14:10,9to10,336,4032,14.51940419
2700,10045,09-08-17 14:15,9to10,304,3648,13.51013064
3000,10045,09-08-17 14:20,9to10,304,3648,12.93342139
3300,10045,09-08-17 14:25,9to10,353,4236,14.63832977
3600,10045,09-08-17 14:30,9to10,313,3756,13.41957651
3900,10045,09-08-17 14:35,9to10,319,3828,13.94542221
4200,10045,09-08-17 14:40,9to10,335,4020,15.23204902
4500,10045,09-08-17 14:45,9to10,314,3768,15.35345045
4800,10045,09-08-17 14:50,9to10,296,3552,19.68860538
5100,10045,09-08-17 14:55,9to10,318,3816,23.36682215
5400,10045,09-08-17 15:00,9to10,293,3516,24.07991154
5700,10045,09-08-17 15:05,9to10,293,3516,23.93798697
6000,10045,09-08-17 15:10,9to10,295,3540,24.66598134
6300,10045,09-08-17 15:15,9to10,282,3384,24.62013603
6600,10045,09-08-17 15:20,9to10,289,3468,24.25053354
6900,10045,09-08-17 15:25,9to10,326,3912,24.16039273
0,10045,09-08-17 13:30,12to13,394,4728,23.3814166
300,10045,09-08-17 13:35,12to13,351,4212,30.20496588
600,10045,09-08-17 13:40,12to13,384,4608,29.00464949
900,10045,09-08-17 13:45,12to13,363,4356,22.78040999
1200,10045,09-08-17 13:50,12to13,381,4572,12.97446141
1500,10045,09-08-17 13:55,12to13,358,4296,16.68581115
1800,10045,09-08-17 14:00,12to13,355,4260,14.53656333
2100,10045,09-08-17 14:05,12to13,351,4212,14.73455574
2400,10045,09-08-17 14:10,12to13,351,4212,15.19066318
2700,10045,09-08-17 14:15,12to13,328,3936,14.06034317
3000,10045,09-08-17 14:20,12to13,362,4344,13.98538381
3300,10045,09-08-17 14:25,12to13,353,4236,15.35166089
3600,10045,09-08-17 14:30,12to13,335,4020,13.8153076
3900,10045,09-08-17 14:35,12to13,368,4416,15.14838628
4200,10045,09-08-17 14:40,12to13,363,4356,15.86460507
4500,10045,09-08-17 14:45,12to13,347,4164,13.83664823
4800,10045,09-08-17 14:50,12to13,308,3696,21.91727796
5100,10045,09-08-17 14:55,12to13,333,3996,29.93638819
5400,10045,09-08-17 15:00,12to13,331,3972,30.51487703
5700,10045,09-08-17 15:05,12to13,314,3768,30.69784468
6000,10045,09-08-17 15:10,12to13,316,3792,31.71397922
6300,10045,09-08-17 15:15,12to13,319,3828,31.72241197
6600,10045,09-08-17 15:20,12to13,289,3468,31.59214822
6900,10045,09-08-17 15:25,12to13,337,4044,30.98870899
0,10045,42986.5625,4_1to4,78,936,22.01995085
300,10045,42986.56597,4to4_1,49,588,22.58909923
600,10045,42986.56944,4_1to4,72,864,21.24931362
900,10045,42986.57292,4_1to4,57,684,22.3625147
1200,10045,42986.57639,4_1to4,89,1068,19.02651095
1500,10045,42986.57986,4_1to4,37,444,18.75916324
1800,10045,42986.58333,4_1to4,21,252,18.68505318
2100,10045,42986.58681,4_1to4,54,648,20.36912546
2400,10045,42986.59028,4_1to4,46,552,16.68049163
2700,10045,42986.59375,4_1to4,46,552,11.1422693
3000,10045,42986.59722,4_1to4,0,0,13.68960713
3300,10045,42986.60069,4_1to4,0,0,13.845336
3600,10045,42986.60417,4_1to4,0,0,14.33747396
3900,10045,42986.60764,4_1to4,0,0,12.91676752
4200,10045,42986.61111,4_1to4,49,588,15.12507003
4500,10045,42986.61458,4_1to4,0,0,15.89793805
4800,10045,42986.61806,4_1to4,0,0,16.00785764
5100,10045,42986.62153,4_1to4,117,1404,15.92063688
5400,10045,42986.625,4_1to4,0,0,16.24337696
5700,10045,42986.62847,4_1to4,0,0,15.99599929
6000,10045,42986.63194,4_1to4,14,168,16.25894087
6300,10045,42986.63542,4_1to4,0,0,16.18485929
6600,10045,42986.63889,4_1to4,0,0,15.88206378
6900,10045,42986.64236,4_1to4,38,456,16.10053248
0,10045,42986.5625,10_1to10,39,468,23.62070417
300,10045,42986.56597,10_1to10,11,132,29.01430226
600,10045,42986.56944,10_1to10,9,108,27.59720408
900,10045,42986.57292,10_1to10,0,0,22.20025251
1200,10045,42986.57639,10_1to10,0,0,14.22724532
1500,10045,42986.57986,10_1to10,20,240,15.98925867
1800,10045,42986.58333,10_1to10,39,468,14.34041456
2100,10045,42986.58681,10_1to10,0,0,15.07215745
2400,10045,42986.59028,10_1to10,15,180,14.85503369
2700,10045,42986.59375,10_1to10,24,288,13.78523691
3000,10045,42986.59722,10_1to10,58,696,13.4594026
3300,10045,42986.60069,10_1to10,0,0,14.99499533
3600,10045,42986.60417,10_1to10,22,264,13.61744206
3900,10045,42986.60764,10_1to10,49,588,14.54690425
4200,10045,42986.61111,10_1to10,28,336,15.54832705
4500,10045,42986.61458,10_1to10,33,396,14.59504934
4800,10045,42986.61806,10_1to10,12,144,14.89676021
5100,10045,42986.62153,10_1to10,15,180,15.01337887
5400,10045,42986.625,10_1to10,38,456,14.83506281
5700,10045,42986.62847,10_1to10,21,252,27.31791583
6000,10045,42986.63194,10_1to10,21,252,28.18998028
6300,10045,42986.63542,10_1to10,37,444,28.171274
6600,10045,42986.63889,10_1to10,0,0,27.92134088
6900,10045,42986.64236,10_1to10,11,132,27.57455086
