interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
3600.00;3900.00;1140.00;18.34;loop1_1;5.07;95;96;8.82;18.55
3600.00;3900.00;1212.00;19.12;loop1_2;5.02;101;101;8.85;19.22
3600.00;3900.00;1200.00;19.05;loop1_3;5.04;100;100;8.85;19.17
3600.00;3900.00;12.00;25.97;loop2_1;5.00;1;1;0.06;25.97
3600.00;3900.00;804.00;24.82;loop2_2;5.13;67;67;4.61;25.08
3600.00;3900.00;1140.00;27.17;loop2_3;5.02;95;94;5.85;27.31
3600.00;3900.00;1632.00;29.12;loop2_4;5.02;136;136;7.81;29.30
3600.00;3900.00;12.00;25.29;loop3_1;5.00;1;1;0.07;25.29
3600.00;3900.00;696.00;25.03;loop4_1;5.14;58;59;4.03;25.24
3600.00;3900.00;1152.00;27.25;loop4_2;5.02;96;97;5.91;27.39
3600.00;3900.00;1656.00;28.84;loop4_3;5.02;138;138;8.00;29.06
3600.00;3900.00;252.00;29.79;loop5_1;5.00;21;21;1.17;29.90
3600.00;3900.00;708.00;24.90;loop5_2;5.14;59;59;4.06;25.11
3600.00;3900.00;1164.00;27.81;loop5_3;5.02;97;97;5.84;27.93
3600.00;3900.00;1632.00;29.52;loop5_4;5.02;136;136;7.71;29.67
3600.00;3900.00;252.00;22.22;loop6_1;5.00;21;21;1.58;22.37
3600.00;3900.00;216.00;31.23;loop7_1;5.00;18;18;0.96;31.46
3600.00;3900.00;12.00;34.97;loop7_2;5.00;1;1;0.05;34.97
3600.00;3900.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
3600.00;3900.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
3600.00;3900.00;840.00;25.85;loop8_2;5.12;70;70;4.64;26.16
3600.00;3900.00;1128.00;29.11;loop8_3;5.04;94;94;5.44;29.23
3600.00;3900.00;1488.00;31.13;loop8_4;5.00;124;124;6.64;31.26
3900.00;4200.00;1152.00;18.36;loop1_1;5.09;96;96;8.92;18.56
3900.00;4200.00;1188.00;18.24;loop1_2;5.04;99;99;9.15;18.85
3900.00;4200.00;1212.00;19.37;loop1_3;5.02;101;101;8.74;19.47
3900.00;4200.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
3900.00;4200.00;756.00;25.92;loop2_2;5.17;63;63;4.17;26.13
3900.00;4200.00;1068.00;27.52;loop2_3;5.00;89;89;5.39;27.70
3900.00;4200.00;1764.00;29.41;loop2_4;5.01;147;147;8.35;29.52
3900.00;4200.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
3900.00;4200.00;792.00;25.72;loop4_1;5.16;66;65;4.35;25.92
3900.00;4200.00;1080.00;27.72;loop4_2;5.00;90;89;5.40;27.84
3900.00;4200.00;1752.00;29.70;loop4_3;5.01;146;146;8.22;29.81
3900.00;4200.00;564.00;28.67;loop5_1;5.04;47;47;2.76;28.86
3900.00;4200.00;804.00;23.71;loop5_2;5.16;67;67;4.84;25.32
3900.00;4200.00;1068.00;27.83;loop5_3;5.00;89;90;5.34;27.98
3900.00;4200.00;1752.00;29.82;loop5_4;5.01;146;147;8.23;29.95
3900.00;4200.00;576.00;21.15;loop6_1;5.04;48;48;3.81;21.39
3900.00;4200.00;360.00;28.72;loop7_1;5.00;30;30;1.74;28.92
3900.00;4200.00;180.00;31.93;loop7_2;5.00;15;15;0.78;32.16
3900.00;4200.00;12.00;34.53;loop7_3;5.00;1;1;0.05;34.53
3900.00;4200.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
3900.00;4200.00;1176.00;26.24;loop8_2;5.09;98;99;6.39;26.47
3900.00;4200.00;1104.00;27.12;loop8_3;5.02;92;92;5.68;28.41
3900.00;4200.00;1560.00;31.18;loop8_4;5.02;130;130;6.97;31.30
4200.00;4500.00;1176.00;18.43;loop1_1;5.06;98;99;9.05;18.58
4200.00;4500.00;1164.00;18.63;loop1_2;5.02;97;98;9.06;18.75
4200.00;4500.00;1212.00;19.12;loop1_3;5.04;101;102;8.97;19.24
4200.00;4500.00;72.00;23.43;loop2_1;5.00;6;6;0.43;23.53
4200.00;4500.00;900.00;20.54;loop2_2;5.06;75;75;6.16;21.01
4200.00;4500.00;1092.00;23.58;loop2_3;5.02;91;91;6.47;24.45
4200.00;4500.00;1500.00;27.04;loop2_4;5.08;125;125;7.84;27.79
4200.00;4500.00;72.00;18.70;loop3_1;5.00;6;6;0.53;19.15
4200.00;4500.00;900.00;26.59;loop4_1;5.03;75;75;4.73;26.72
4200.00;4500.00;1392.00;28.15;loop4_2;5.02;116;116;6.89;28.25
4200.00;4500.00;1656.00;29.31;loop4_3;5.08;138;139;8.00;29.40
4200.00;4500.00;372.00;28.73;loop5_1;5.00;31;31;1.80;28.90
4200.00;4500.00;912.00;26.40;loop5_2;5.03;76;76;4.83;26.58
4200.00;4500.00;1368.00;28.32;loop5_3;5.02;114;114;6.73;28.45
4200.00;4500.00;1644.00;29.65;loop5_4;5.08;137;137;7.80;29.78
4200.00;4500.00;372.00;21.15;loop6_1;5.00;31;31;2.44;21.37
4200.00;4500.00;252.00;29.02;loop7_1;5.00;21;21;1.21;29.28
4200.00;4500.00;132.00;31.11;loop7_2;5.19;11;11;0.61;31.28
4200.00;4500.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
4200.00;4500.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
4200.00;4500.00;1092.00;27.13;loop8_2;5.02;91;92;5.67;27.34
4200.00;4500.00;1284.00;29.09;loop8_3;5.04;107;107;6.18;29.23
4200.00;4500.00;1560.00;30.83;loop8_4;5.08;130;130;7.14;30.95
4500.00;4800.00;1176.00;18.88;loop1_1;5.02;98;98;8.70;18.96
4500.00;4800.00;1188.00;18.31;loop1_2;5.02;99;98;8.73;18.89
4500.00;4800.00;1212.00;19.25;loop1_3;5.02;101;100;8.74;19.33
4500.00;4800.00;36.00;22.48;loop2_1;5.00;3;3;0.22;22.59
4500.00;4800.00;840.00;24.91;loop2_2;5.03;70;70;4.71;25.35
4500.00;4800.00;1176.00;27.14;loop2_3;5.00;98;98;6.02;27.36
4500.00;4800.00;1524.00;28.61;loop2_4;5.03;127;127;7.44;28.98
4500.00;4800.00;36.00;20.23;loop3_1;5.00;3;3;0.25;20.40
4500.00;4800.00;888.00;25.77;loop4_1;5.06;74;74;4.84;25.93
4500.00;4800.00;1236.00;27.64;loop4_2;5.00;103;103;6.21;27.81
4500.00;4800.00;1560.00;29.42;loop4_3;5.03;130;130;7.39;29.54
4500.00;4800.00;408.00;29.18;loop5_1;5.00;34;34;1.94;29.28
4500.00;4800.00;888.00;25.77;loop5_2;5.06;74;74;4.83;25.93
4500.00;4800.00;1236.00;27.82;loop5_3;5.00;103;103;6.17;28.01
4500.00;4800.00;1560.00;29.69;loop5_4;5.03;130;129;7.32;29.82
4500.00;4800.00;396.00;21.76;loop6_1;5.00;33;33;2.53;21.92
4500.00;4800.00;360.00;29.96;loop7_1;5.00;30;30;1.67;30.13
4500.00;4800.00;48.00;34.68;loop7_2;5.00;4;4;0.19;34.84
4500.00;4800.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
4500.00;4800.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
4500.00;4800.00;1128.00;26.71;loop8_2;5.02;94;93;5.84;26.96
4500.00;4800.00;1140.00;28.80;loop8_3;5.00;95;96;5.55;28.96
4500.00;4800.00;1320.00;30.84;loop8_4;5.04;110;111;6.03;30.96
4800.00;5100.00;1140.00;18.52;loop1_1;5.09;95;95;8.75;18.68
4800.00;5100.00;1200.00;18.99;loop1_2;5.00;100;100;8.78;19.05
4800.00;5100.00;1200.00;19.11;loop1_3;5.04;100;100;8.82;19.21
4800.00;5100.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
4800.00;5100.00;780.00;25.99;loop2_2;5.06;65;65;4.22;26.12
4800.00;5100.00;1068.00;27.18;loop2_3;5.07;89;89;5.54;27.34
4800.00;5100.00;1680.00;29.97;loop2_4;5.00;140;140;7.79;30.09
4800.00;5100.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
4800.00;5100.00;768.00;25.91;loop4_1;5.03;64;64;4.15;26.03
4800.00;5100.00;1068.00;27.81;loop4_2;5.07;89;89;5.41;27.91
4800.00;5100.00;1752.00;29.61;loop4_3;5.01;146;145;8.23;29.71
4800.00;5100.00;168.00;28.30;loop5_1;5.00;14;14;0.82;28.46
4800.00;5100.00;780.00;26.08;loop5_2;5.03;65;65;4.18;26.22
4800.00;5100.00;1044.00;27.88;loop5_3;5.07;87;87;5.28;27.99
4800.00;5100.00;1764.00;29.73;loop5_4;5.01;147;147;8.26;29.87
4800.00;5100.00;168.00;20.93;loop6_1;5.00;14;14;1.11;21.15
4800.00;5100.00;132.00;29.37;loop7_1;5.00;11;11;0.62;29.70
4800.00;5100.00;48.00;31.42;loop7_2;5.00;4;4;0.21;31.56
4800.00;5100.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
4800.00;5100.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
4800.00;5100.00;852.00;26.64;loop8_2;5.03;71;71;4.47;26.81
4800.00;5100.00;1020.00;29.05;loop8_3;5.07;85;84;4.90;29.17
4800.00;5100.00;1584.00;31.20;loop8_4;5.00;132;131;7.01;31.31
5100.00;5400.00;1164.00;18.52;loop1_1;5.02;97;97;8.78;18.73
5100.00;5400.00;1200.00;18.05;loop1_2;5.08;100;100;9.44;18.29
5100.00;5400.00;1212.00;18.51;loop1_3;5.08;101;101;9.30;18.73
5100.00;5400.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
5100.00;5400.00;780.00;20.64;loop2_2;5.03;65;65;5.29;21.62
5100.00;5400.00;1104.00;22.53;loop2_3;5.09;92;92;6.94;23.77
5100.00;5400.00;1620.00;26.22;loop2_4;5.08;135;136;8.75;27.21
5100.00;5400.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
5100.00;5400.00;864.00;26.82;loop4_1;5.09;72;72;4.57;27.04
5100.00;5400.00;1476.00;26.90;loop4_2;5.07;123;123;7.74;27.08
5100.00;5400.00;1788.00;28.87;loop4_3;5.08;149;149;8.74;29.09
5100.00;5400.00;168.00;29.34;loop5_1;5.00;14;14;0.80;29.45
5100.00;5400.00;864.00;27.00;loop5_2;5.06;72;72;4.50;27.17
5100.00;5400.00;1464.00;27.04;loop5_3;5.07;122;123;7.70;27.24
5100.00;5400.00;1776.00;28.89;loop5_4;5.09;148;148;8.68;29.13
5100.00;5400.00;180.00;21.65;loop6_1;5.00;15;15;1.15;21.77
5100.00;5400.00;156.00;30.62;loop7_1;5.00;13;13;0.71;30.83
5100.00;5400.00;12.00;32.15;loop7_2;5.00;1;1;0.05;32.15
5100.00;5400.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
5100.00;5400.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
5100.00;5400.00;1020.00;27.54;loop8_2;5.05;85;85;5.19;27.78
5100.00;5400.00;1380.00;28.77;loop8_3;5.07;115;115;6.76;28.95
5100.00;5400.00;1668.00;30.73;loop8_4;5.09;139;139;7.68;30.90
5400.00;5700.00;1152.00;18.60;loop1_1;5.02;96;100;8.82;18.74
5400.00;5700.00;1200.00;16.97;loop1_2;5.04;100;101;9.95;18.33
5400.00;5700.00;1200.00;18.86;loop1_3;5.00;100;100;8.84;19.42
5400.00;5700.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
5400.00;5700.00;768.00;18.93;loop2_2;5.00;64;64;5.64;19.29
5400.00;5700.00;1260.00;22.36;loop2_3;5.02;105;105;7.86;23.08
5400.00;5700.00;1584.00;25.08;loop2_4;5.03;132;131;8.78;26.04
5400.00;5700.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
5400.00;5700.00;960.00;25.68;loop4_1;5.00;80;80;5.19;25.86
5400.00;5700.00;1500.00;26.57;loop4_2;5.03;125;125;7.89;26.72
5400.00;5700.00;1812.00;28.30;loop4_3;5.03;151;151;8.94;28.46
5400.00;5700.00;432.00;29.06;loop5_1;5.00;36;36;2.06;29.16
5400.00;5700.00;960.00;25.69;loop5_2;5.03;80;80;5.22;25.89
5400.00;5700.00;1500.00;26.39;loop5_3;5.03;125;124;7.88;26.54
5400.00;5700.00;1800.00;28.45;loop5_4;5.03;150;150;8.84;28.63
5400.00;5700.00;432.00;21.40;loop6_1;5.00;36;36;2.80;21.57
5400.00;5700.00;336.00;29.64;loop7_1;5.00;28;28;1.57;29.82
5400.00;5700.00;84.00;32.58;loop7_2;5.00;7;7;0.36;32.75
5400.00;5700.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
5400.00;5700.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
5400.00;5700.00;1212.00;26.63;loop8_2;5.02;101;101;6.35;26.78
5400.00;5700.00;1572.00;28.21;loop8_3;5.03;131;131;7.79;28.38
5400.00;5700.00;1740.00;30.14;loop8_4;5.03;145;145;8.07;30.29
5700.00;6000.00;1152.00;18.63;loop1_1;5.07;96;96;8.72;18.80
5700.00;6000.00;1176.00;18.03;loop1_2;5.02;98;99;9.16;18.64
5700.00;6000.00;1236.00;18.38;loop1_3;5.06;103;104;9.50;18.99
5700.00;6000.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
5700.00;6000.00;708.00;24.96;loop2_2;5.07;59;59;3.99;25.49
5700.00;6000.00;1140.00;25.21;loop2_3;5.04;95;95;6.33;25.90
5700.00;6000.00;1716.00;28.54;loop2_4;5.03;143;143;8.39;28.76
5700.00;6000.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
5700.00;6000.00;768.00;26.19;loop4_1;5.10;64;64;4.15;26.39
5700.00;6000.00;1176.00;26.72;loop4_2;5.02;98;98;6.14;26.89
5700.00;6000.00;1740.00;28.82;loop4_3;5.03;145;145;8.43;28.99
5700.00;6000.00;276.00;29.43;loop5_1;5.09;23;23;1.33;29.59
5700.00;6000.00;780.00;26.15;loop5_2;5.10;65;65;4.22;26.33
5700.00;6000.00;1188.00;26.92;loop5_3;5.02;99;99;6.16;27.08
5700.00;6000.00;1752.00;28.74;loop5_4;5.03;146;146;8.51;28.89
5700.00;6000.00;264.00;21.96;loop6_1;5.10;22;22;1.70;22.22
5700.00;6000.00;264.00;30.46;loop7_1;5.10;22;22;1.22;30.66
5700.00;6000.00;12.00;37.69;loop7_2;5.00;1;1;0.04;37.69
5700.00;6000.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
5700.00;6000.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
5700.00;6000.00;1020.00;26.87;loop8_2;5.10;85;85;5.38;27.17
5700.00;6000.00;1140.00;28.28;loop8_3;5.02;95;95;5.62;28.41
5700.00;6000.00;1704.00;30.26;loop8_4;5.03;142;142;7.87;30.38
6000.00;6300.00;1176.00;18.87;loop1_1;5.04;98;98;8.76;18.99
6000.00;6300.00;1188.00;18.58;loop1_2;5.02;99;100;8.98;18.71
6000.00;6300.00;1200.00;19.15;loop1_3;5.04;100;99;8.80;19.29
6000.00;6300.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
6000.00;6300.00;768.00;23.17;loop2_2;5.03;64;64;4.65;23.79
6000.00;6300.00;1140.00;26.28;loop2_3;5.07;95;95;6.10;26.71
6000.00;6300.00;1668.00;28.69;loop2_4;5.00;139;139;8.07;28.99
6000.00;6300.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
6000.00;6300.00;756.00;25.58;loop4_1;5.10;63;63;4.20;25.84
6000.00;6300.00;1296.00;27.52;loop4_2;5.04;108;108;6.59;27.62
6000.00;6300.00;1704.00;29.17;loop4_3;5.00;142;143;8.17;29.31
6000.00;6300.00;252.00;28.70;loop5_1;5.10;21;21;1.25;28.96
6000.00;6300.00;756.00;25.47;loop5_2;5.10;63;63;4.21;25.73
6000.00;6300.00;1284.00;27.48;loop5_3;5.04;107;107;6.54;27.64
6000.00;6300.00;1704.00;29.57;loop5_4;5.00;142;142;8.00;29.72
6000.00;6300.00;252.00;21.80;loop6_1;5.10;21;21;1.64;22.10
6000.00;6300.00;240.00;29.75;loop7_1;5.10;20;20;1.14;30.23
6000.00;6300.00;24.00;33.93;loop7_2;5.00;2;2;0.10;34.16
6000.00;6300.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
6000.00;6300.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
6000.00;6300.00;948.00;26.59;loop8_2;5.08;79;79;5.04;26.92
6000.00;6300.00;1200.00;29.04;loop8_3;5.04;100;101;5.82;29.16
6000.00;6300.00;1548.00;31.03;loop8_4;5.00;129;129;6.93;31.18
6300.00;6600.00;1164.00;18.30;loop1_1;5.04;97;98;8.96;18.50
6300.00;6600.00;1092.00;17.36;loop1_2;5.21;91;92;9.27;18.10
6300.00;6600.00;1272.00;18.39;loop1_3;5.00;106;106;9.61;19.31
6300.00;6600.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
6300.00;6600.00;756.00;26.46;loop2_2;5.13;63;63;4.07;26.66
6300.00;6600.00;1104.00;27.06;loop2_3;5.11;92;92;5.79;27.26
6300.00;6600.00;1632.00;28.93;loop2_4;5.05;136;136;7.91;29.08
6300.00;6600.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
6300.00;6600.00;768.00;26.52;loop4_1;5.13;64;64;4.12;26.70
6300.00;6600.00;1092.00;27.56;loop4_2;5.09;91;92;5.64;27.69
6300.00;6600.00;1572.00;29.39;loop4_3;5.06;131;130;7.48;29.53
6300.00;6600.00;420.00;28.89;loop5_1;5.06;35;35;2.05;29.12
6300.00;6600.00;768.00;26.58;loop5_2;5.13;64;64;4.11;26.73
6300.00;6600.00;1116.00;27.79;loop5_3;5.09;93;93;5.68;27.90
6300.00;6600.00;1572.00;29.94;loop5_4;5.06;131;131;7.39;30.06
6300.00;6600.00;432.00;21.26;loop6_1;5.06;36;36;2.85;21.57
6300.00;6600.00;300.00;29.79;loop7_1;5.08;25;25;1.42;30.13
6300.00;6600.00;96.00;33.35;loop7_2;5.00;8;8;0.40;33.63
6300.00;6600.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
6300.00;6600.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
6300.00;6600.00;1080.00;26.69;loop8_2;5.09;90;91;5.73;26.92
6300.00;6600.00;1140.00;26.90;loop8_3;5.09;95;94;5.95;28.44
6300.00;6600.00;1356.00;31.11;loop8_4;5.07;113;113;6.15;31.25
6600.00;6900.00;1152.00;18.38;loop1_1;5.02;96;99;8.98;18.53
6600.00;6900.00;1164.00;16.75;loop1_2;5.11;97;97;9.91;18.00
6600.00;6900.00;1224.00;19.30;loop1_3;5.04;102;102;8.91;19.41
6600.00;6900.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
6600.00;6900.00;744.00;25.71;loop2_2;5.07;62;62;4.08;25.95
6600.00;6900.00;1092.00;28.12;loop2_3;5.05;91;91;5.44;28.21
6600.00;6900.00;1728.00;29.40;loop2_4;5.04;144;144;8.23;29.53
6600.00;6900.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
6600.00;6900.00;672.00;25.31;loop4_1;5.08;56;56;3.75;25.48
6600.00;6900.00;1200.00;27.27;loop4_2;5.04;100;99;6.13;27.48
6600.00;6900.00;1776.00;29.32;loop4_3;5.04;148;148;8.48;29.42
6600.00;6900.00;60.00;29.72;loop5_1;5.00;5;5;0.28;29.89
6600.00;6900.00;684.00;23.54;loop5_2;5.07;57;58;4.15;25.22
6600.00;6900.00;1176.00;27.72;loop5_3;5.04;98;99;5.97;27.93
6600.00;6900.00;1752.00;29.83;loop5_4;5.04;146;146;8.23;29.94
6600.00;6900.00;48.00;21.84;loop6_1;5.00;4;4;0.31;22.08
6600.00;6900.00;84.00;27.83;loop7_1;5.00;7;7;0.42;28.03
6600.00;6900.00;12.00;36.61;loop7_2;5.00;1;1;0.05;36.61
6600.00;6900.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
6600.00;6900.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
6600.00;6900.00;696.00;26.15;loop8_2;5.04;58;58;3.72;26.31
6600.00;6900.00;1104.00;28.93;loop8_3;5.05;92;92;5.35;29.11
6600.00;6900.00;1584.00;31.16;loop8_4;5.02;132;132;7.08;31.26
6900.00;7200.00;1164.00;19.20;loop1_1;5.00;97;97;8.42;19.28
6900.00;7200.00;1140.00;18.53;loop1_2;5.07;95;96;8.74;18.72
6900.00;7200.00;1236.00;18.38;loop1_3;5.04;103;103;9.44;18.96
6900.00;7200.00;0.00;-1.00;loop2_1;-1.00;0;0;0.00;-1.00
6900.00;7200.00;768.00;22.09;loop2_2;5.00;64;64;4.83;22.81
6900.00;7200.00;1140.00;23.44;loop2_3;5.09;95;96;6.90;24.36
6900.00;7200.00;1644.00;28.98;loop2_4;5.02;137;137;7.90;29.45
6900.00;7200.00;0.00;-1.00;loop3_1;-1.00;0;0;0.00;-1.00
6900.00;7200.00;804.00;26.45;loop4_1;5.00;67;67;4.22;26.66
6900.00;7200.00;1308.00;27.69;loop4_2;5.08;109;109;6.66;27.87
6900.00;7200.00;1788.00;30.09;loop4_3;5.01;149;149;8.28;30.21
6900.00;7200.00;132.00;29.31;loop5_1;5.00;11;11;0.63;29.47
6900.00;7200.00;828.00;26.45;loop5_2;5.00;69;68;4.30;26.65
6900.00;7200.00;1308.00;27.67;loop5_3;5.08;109;109;6.67;27.88
6900.00;7200.00;1776.00;30.29;loop5_4;5.01;148;149;8.20;30.41
6900.00;7200.00;132.00;21.77;loop6_1;5.00;11;11;0.84;22.02
6900.00;7200.00;96.00;30.03;loop7_1;5.00;8;8;0.44;30.36
6900.00;7200.00;24.00;32.43;loop7_2;5.00;2;2;0.10;32.43
6900.00;7200.00;0.00;-1.00;loop7_3;-1.00;0;0;0.00;-1.00
6900.00;7200.00;0.00;-1.00;loop8_1;-1.00;0;0;0.00;-1.00
6900.00;7200.00;924.00;27.22;loop8_2;5.03;77;77;4.74;27.46
6900.00;7200.00;1272.00;29.22;loop8_3;5.06;106;106;6.12;29.35
6900.00;7200.00;1716.00;31.74;loop8_4;5.03;143;143;7.55;31.87
